ENSEMBL,Gene,TA003_ntCtrl_O2,TA003_ntCtrl_RA,TA012_ntCtrl_O2,TA012_ntCtrl_RA,TA020_ntCtrl_O2,TA020_ntCtrl_RA,TA034_ntCtrl_O2,TA034_ntCtrl_RA,TA039_ntCtrl_O2,TA039_ntCtrl_RA
ENSG00000108352.13,RAPGEFL1,2658.073163,3185.344781,2464.427768,2310.428107,4845.098343,6559.396455,4129.601675,4283.3426,2613.884872,2202.61519
ENSG00000171475.14,WIPF2,2094.468291,2121.849715,2217.611026,2281.847848,2471.189973,2425.496798,2445.31074,2428.917155,2096.473644,2227.185044
ENSG00000094804.12,CDC6,43.93509361,50.26185059,76.66277577,86.88398619,94.90888038,107.727314,25.79728154,51.39447893,58.76769508,41.91328117
ENSG00000131759.18,RARA,661.7723475,640.8385951,699.314101,717.9360964,707.0711588,843.3198827,732.5070207,849.7689873,523.7990213,755.8843466
ENSG00000265666.1,RARA-AS1,26.08646183,35.41175837,46.74559498,56.01730689,21.35449809,54.40773437,45.48468062,61.9549883,17.88582024,46.24913784
ENSG00000266208.1,GJD3-AS1,269.1024484,291.8614279,284.2132175,193.2025482,278.7948361,487.4932999,424.9762696,361.8734544,251.679042,274.6042559
ENSG00000131747.15,TOP2A,157.2052568,240.4572625,396.4026455,469.8594517,713.0029639,748.6504249,52.27343892,183.0488291,362.8266392,173.4342669
ENSG00000141753.7,IGFBP4,589.6913345,420.3718413,519.8110162,454.9977172,361.8401064,479.8762171,553.9626774,541.4021137,496.970291,528.974514
ENSG00000279806.1,TEC*804,777.1019682,487.7684137,721.7519866,820.8250275,625.2122495,725.7991765,696.5266017,599.8369322,631.1139428,1098.417024
ENSG00000131746.13,TNS4,10118.11476,6183.349938,10588.81218,11972.84194,5881.977862,7511.531807,8136.326824,8892.652923,5490.946814,14944.25266
ENSG00000073584.20,SMARCE1,225.1673547,207.9012911,170.1539657,139.471662,264.5585041,210.0138547,124.2342769,102.0849239,171.1928509,231.2456892
ENSG00000278834.2,lncRNA*10648,145.5349976,119.9430525,119.6687232,110.8914034,179.1405117,220.8954015,156.1414409,149.2551991,121.3680659,138.7474135
ENSG00000167916.5,KRT24,7.551344214,6.853888717,0,0,4.745444019,5.440773437,6.788758301,7.744373538,16.60826165,60.70199341
ENSG00000186395.9,KRT10,720.1236437,888.7209037,830.2017669,888.2744378,726.0529349,1201.322775,1365.219294,2570.427981,691.1591964,887.4053323
ENSG00000167920.12,KRT10-AS1,287.637566,314.1365662,175.7634371,201.2050207,300.1493342,306.8596218,230.1389064,257.6764286,327.0549987,294.8382537
ENSG00000108244.17,KRT23,4532.865986,1084.056732,11731.27452,10554.1179,410.4809076,1149.09135,6036.563881,7060.756565,1456.416791,8388.437376
ENSG00000204889.11,KRT40,95.42153143,96.52559943,7.479295197,9.145682757,33.21810813,43.52618749,25.79728154,30.27346019,57.49013649,89.60770456
