"ENSEMBL","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000187583.11","PLEKHN1",739.549299129586,-0.0530092594927281,0.231301831642167,-0.229177863038869,0.818730677469015,0.999090242992625
"ENSG00000174007.9","CEP19",79.7701580882014,0.0970663809896178,0.423711709919682,0.229085906094069,0.818802147514165,0.999090242992625
"ENSG00000198692.10","EIF1AY",480.679433321893,-0.0332526621472879,0.145223171915986,-0.228976283251305,0.81888734967521,0.999090242992625
"ENSG00000183718.6","TRIM52",407.61664238131,-0.0271044919331396,0.1184315113251,-0.22886216370858,0.81897604907839,0.999090242992625
"ENSG00000175792.12","RUVBL1",939.665095397934,0.0357741185255819,0.156350531248423,0.228807144049552,0.819018813930639,0.999090242992625
"ENSG00000105750.15","ZNF85",135.849750981127,0.0443215411181399,0.193751991890321,0.228753989498231,0.81906012961135,0.999090242992625
"ENSG00000250302.3","LINC01618",7.58656038012524,-0.165351781980328,0.723270469537355,-0.228616802350712,0.819166764012845,NA
"ENSG00000115137.12","DNAJC27",165.257966741865,0.0382675302107686,0.167412783015553,0.228581889157254,0.819193902274754,0.999090242992625
"ENSG00000182518.14","FAM104B",210.740066233787,0.0547375771499951,0.239538315835021,0.228512824594187,0.819247587265673,0.999090242992625
"ENSG00000155304.6","HSPA13",552.831946947395,-0.0340289501831921,0.148922218987996,-0.228501498395851,0.819256391381898,0.999090242992625
"ENSG00000144362.12","PHOSPHO2",25.7577034059371,-0.093223979722611,0.40817870731912,-0.228390109652945,0.819342977644754,0.999090242992625
"ENSG00000023697.13","DERA",1214.60422116934,0.0229390294016445,0.100439928812153,0.228385560134616,0.8193465141871,0.999090242992625
"ENSG00000108239.9","TBC1D12",366.075453931538,0.0352904605553428,0.154524178553387,0.22838147975108,0.819349686053293,0.999090242992625
"ENSG00000261359.2","PYCARD-AS1",8.80708905838447,0.159444519113716,0.698151351674929,0.228381021867528,0.819350041987018,NA
"ENSG00000262823.1","lncRNA*10272",22.3283884919742,-0.104296413774357,0.456864803895632,-0.228287258911244,0.819422928984555,0.999090242992625
"ENSG00000129116.20","PALLD",4719.1407545577,0.0558143158995779,0.244593598123257,0.228192055425145,0.819496937379817,0.999090242992625
"ENSG00000184939.16","ZFP90",582.598645663111,0.030868856584254,0.135289371312394,0.228169118422284,0.819514768172865,0.999090242992625
"ENSG00000291082.1","HERC2P9*1",133.043574896963,-0.0496418514452298,0.217646714641768,-0.228084543003266,0.819580516313456,0.999090242992625
"ENSG00000114520.11","SNX4",776.129610704758,-0.028442796537302,0.124757946311466,-0.227983846947054,0.819658798140736,0.999090242992625
"ENSG00000137942.18","FNBP1L",3441.27247153381,-0.0222954123371991,0.0978333217710128,-0.227891805507569,0.819730353379786,0.999090242992625
"ENSG00000114859.16","CLCN2",176.007669129204,-0.0440108202143923,0.193159516289509,-0.227847020223578,0.819765171084575,0.999090242992625
"ENSG00000180720.8","CHRM4",8.7679452299017,-0.186550613171491,0.819374656450658,-0.227674375455527,0.819899394715718,NA
"ENSG00000109390.13","NDUFC1",1226.92701860962,0.0227821874576667,0.10031766414588,0.227100457846958,0.82034562803947,0.999090242992625
"ENSG00000135116.9","HRK",45.8126142520084,-0.0715534314570478,0.315085103130905,-0.227092397406425,0.820351895620411,0.999090242992625
"ENSG00000171100.16","MTM1",597.75794909871,-0.0250797880409214,0.110443403058261,-0.227082716997513,0.82035942286019,0.999090242992625
"ENSG00000247077.8","PGAM5",1285.45303029691,0.023179610054604,0.102089772311832,0.22705124646377,0.820383893661206,0.999090242992625
"ENSG00000158296.14","SLC13A3",58.2136003079258,0.0858468163047354,0.378131662302114,0.227028902531169,0.82040126792227,0.999090242992625
"ENSG00000213390.11","ARHGAP19",260.481489506695,-0.0363826437976241,0.160779703748795,-0.226288784898304,0.820976820536148,0.999090242992625
